disease_name,gene_name
AIDS,IL2RB; TXNRD1; IL2RA; IFNAR1; CCR5; CYP3A43; CYP3A5; IFNAR2; CYP3A4; CYP3A7
AL amyloidosis,CD38; NR3C1; CUL4A; BCL2; XPO1; RBX1; TUBB1; TUBB4A; TUBB; TNFRSF17; PSMB5; CRBN; TUBB4B; TUBB2A; TUBB2B; DDB1; TUBB6; TUBB3; TUBB8
Abnormality of blood and blood-forming tissues,IL2RB; TUBB4A; TOP2A; POLE3; RRM1; F2; PRIM1; TUBB3; TUBB8; POLD1; POLD3; POLA1; IMPDH1; NR3C1; TUBB2A; TUBB2B; POLD4; TUBB6; TUBB4B; TUBB; POLA2; TUBB1; IL2RA; PRIM2; MS4A1; POLE; IMPDH2; FKBP1A; POLE2; POLD2
Acute kidney injury,PDE4D; ADORA2A; PDE5A; SLC5A2; ADORA1; HMGCR; PDE3B; PDE3A; ADORA3; NPC1L1; SLC12A1; PDE4C; TP53; PDE4B; PDE4A; ADORA2B
Agitation,GABRG2; ADRA2A; GABRA2; GABRA5; GABRA3; GABRA4; GABRG1; ADRA2C; GABRA1; GABRP; GABRE; GABRA6; GABRB3; GABRG3; GABRQ; ADRA2B; GABRB2; GABRB1; GABRD
Alzheimer disease,MAOB; RARB; ACHE; PTGS1; HRH3; CHRNA4; FRK; ALDH5A1; GABRG2; BCHE; APH1A; BLK; APP; CHRM1; YES1; HTR1A; GABRA5; BACE1; BCR; GRIN3A; GRIN2B; GABRA1; PTGS2; HDAC6; ABL1; IL2RB; GABRE; ATP4A; SERPINE1; GABRA4; HDAC1; SRMS; IL2RA; APH1B; ESR2; SLC6A3; EPHA2; RXRG; PSEN2; GABRA6; ADRA2A; KIT; HTR6; GRIN2C; NCSTN; ADORA1; GABRG3; ADRA2C; RXRA; PPARA; GABRD; MAOA; TNF; ADRA2B; FGR; FYN; DRD4; HTR2A; SLC6A2; GRIN2D; SLC6A4; PPARD; PDE4D; PDGFRB; GRIN3B; CNR1; CSF3R; SLC5A2; AGTR1; GABRB2; PLA2G7; GABRA2; HTR4; GABRB3; INSR; RARG; CHRNA7; GRIN1; LCK; SEMA4D; FLNA; RXRB; LYN; GABRQ; GABRA3; PSEN1; GSK3B; GABRP; HCK; ADORA2A; RARA; PPARG; SIGMAR1; DRD2; DRD3; PDE9A; CHRNB2; GABRG1; GABRB1; VKORC1; ADORA2B; HDAC3; GRIN2A; MAPT; HDAC2; SRC; PSENEN; ADORA3
Aplastic anemia,POLD1; CD2; PRIM2; POLE3; RRM1; POLE; POLE2; MPL; AR; POLD4; PRIM1; CD38; FKBP1A; POLA1; IMPDH1; POLD2; CD52; IMPDH2; POLA2; POLD3; PGR; CSF3R; MS4A1; PPIA
B-cell acute lymphoblastic leukemia,POLA2; POLD1; ABL1; POLD2; CSF3R; PPAT; PRIM2; MS4A1; TUBB6; CD19; TUBB4B; PDCD1; CD3E; TUBB8; POLD3; POLE2; POLA1; POLE3; PTK2; BCL2; POLD4; PRIM1; CD22; TOP2B; TUBB4A; CD3G; CD3D; RRM1; CD52; POLE; PNP; DHFR; TUBB1; NR3C1; PDGFRB; TOP2A; TUBB2A; TUBB2B; KIT; XDH; IL6R; BCR; TUBB; TUBB3
B-cell neoplasm,TOP2A; CUL4A; TOP2B; RBX1; CRBN; TUBB2B; DDB1; TUBB8; TUBB4A; NR3C1; TUBB2A; MS4A1; TUBB1; TUBB6; TUBB4B; TUBB; TUBB3
B-cell non-Hodgkins lymphoma,CD22; POLA2; CRBN; MS4A1; CD3G; CD3D; DDB1; POLE; RBX1; POLD2; PRIM2; RRM1; POLD4; POLE2; POLA1; PRIM1; POLD1; POLD3; CUL4A; POLE3; CD3E
Barrett's esophagus,NDUFB2; ATP4A; GPD2; NDUFA10; NDUFS6; NDUFB6; NDUFV1; NDUFB1; NDUFA6; NDUFA4L2; MT-ND2; MT-ND5; MT-ND1; MT-ND4L; NDUFA7; NDUFS1; NDUFB7; NDUFA8; NDUFAF4; NDUFA1; NDUFA5; NDUFA2; NDUFAF1; NDUFC2; NDUFB8; NDUFA3; NDUFA11; NDUFAF3; NDUFV2; NDUFA13; MT-ND6; MT-ND4; NDUFAB1; NDUFB4; NDUFS8; VDR; NDUFS7; NDUFB5; AGTR1; NDUFB11; NDUFS2; NDUFV3; NDUFAF2; NDUFA12; NDUFS3; NDUFC1; NDUFB3; NDUFA9; NDUFB10; NDUFB9; ACE; NDUFS4; NDUFS5; NDUFA4; MT-ND3
Beta-thalassemia,CSF3R; PRIM2; POLE3; CD52; POLD1; POLE2; POLD4; IMPDH2; PPIA; POLA2; FKBP1A; POLA1; IMPDH1; POLD2; CXCR4; RRM1; POLD3; RRM2; POLE; PRIM1
"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",POLA2; HDAC4; POLD3; HDAC6; HDAC1; KDR; WEE1; RRM1; HDAC3; LYN; FLT4; HDAC9; FKBP1A; POLE2; HDAC5; HDAC8; POLD4; BCR; HDAC2; SRC; POLA1; POLD2; CSF3R; IL2RA; MS4A1; PRIM1; CD22; HDAC7; POLD1; ABL1; IL2RB; HDAC10; HCK; FLT1; PRIM2; POLE3; HDAC11; POLE
Brain Stem Glioma,POLA1; POLD2; EGFR; POLE3; POLD4; PRIM1; POLD1; POLD3; POLE2; RRM1; CSF2RA; POLA2; PRIM2; POLE
Burkitts lymphoma,BTK; CD22; RARB; HDAC6; TUBB1; POLA1; TUBB4A; CRBN; HDAC1; PPAT; DNMT1; CD3D; TUBB4B; PRIM1; TOP1; LYN; TUBB3; POLD1; ABL1; HCK; SRMS; BLK; PRIM2; RRM1; DDB1; RARG; BCR; SRC; CD3E; POLA2; HSP90AA1; AURKA; HSP90AB1; PSMB5; POLD2; NR3C1; DNMT3A; TUBB2B; EPHA2; KIT; CD3G; HDAC3; BCL2; POLD4; TUBB6; POLE; CD19; LCK; HDAC2; DHFR; FGR; FYN; TOP2B; POLD3; RBX1; POLE2; FRK; ALDH5A1; PDGFRB; TOP2A; RARA; TUBB2A; CUL4A; POLE3; MS4A1; YES1; TUBB; TUBB8
COVID-19,CASP10; GABRA3; NR1H4; GUCY1B1; PDE8A; RARB; PGR; FKBP1A; TUBB1; PDE4C; IMPDH1; SLC6A4; OPRM1; PDE10A; NR3C1; OPRD1; SERPINC1; AGT; SCN2A; TUBB2A; MMP13; CASP6; TRPM8; AGTR1; DRD2; PDE3B; IFNAR2; IL6R; CCR5; JAK1; SYK; CASP7; SCN9A; PDE3A; SCN5A; SCN10A; PDE2A; CASP12; TLR9; TUBB8; SELE; PDE6C; JAK2; CSNK2A1; DHODH; TUBB4A; TYK2; VDR; PDE4D; HRH2; nan; MAS1; LGALS3; SCN7A; TUBB2B; MMP7; IFNAR1; DRD3; GABRA2; PDE6D; ADORA1; TLR3; SCN11A; AR; ADORA2B; PDE7B; TUBB6; GABRG3; PDE4B; PDE6G; TUBB; PPIA; MME; MMP1; TLR7; SCN8A; CASP4; CSF2RA; DHFR; BTK; GABRA1; PDE4A; OPRK1; HTR2A; TRPA1; CASP14; JAK3; CASP2; GABRG2; PDE1A; FAAH; MMP8; CNR1; PDE1B; ADORA2A; RARA; CASP9; PDE6A; SCN3A; PDE9A; GABRG1; CASP3; KLKB1; RARG; ELANE; SCN4A; CYP3A43; CASP8; DRD4; PTGS2; PTGS1; EEF1A2; CYP3A5; HMGCR; PDE8B; PDE6B; CASP1; CASP5; PDE5A; PDE6H; SCN1A; PDE1C; CYP3A4; CYP3A7; INSR; TOP1MT; GABRA5; TUBB4B; TRPV1; PDE7A; TUBB3; ADORA3
Castleman disease,TUBB1; TUBB4A; CRBN; MS4A1; TUBB; TUBB8; TUBB2A; TUBB6; TOP2B; RBX1; NR3C1; TOP2A; TUBB2B; TUBB4B; CUL4A; IL6R; DDB1; TUBB3
Central Nervous System Lymphoma,BTK; XPO1; RBX1; NR3C1; CD274; CUL4A; POLD4; TYMS; DHFR; CRBN; PIK3CA; RRM1; DDB1; POLD3; POLE2; POLD2; PRIM2; POLE3; MS4A1; GART; PIK3CD; CD19; PDCD1; POLA2; POLD1; POLA1; POLE; PRIM1
Central Nervous System Neoplasm,CACNA1G; PARP3; ERBB3; IL4R; POLD3; EPHA6; GSK3B; ANGPT2; TUBB1; FLT1; TUBB4A; ALDH5A1; PDE8B; CRBN; PIK3R3; ADORA2A; EPHA7; TUBB2A; PDE6H; EPHA1; PDE3B; RRM1; BDKRB2; PIK3CD; CSF1R; EPHB3; CHEK2; PDE4B; PDE6G; TOP1; PDE7A; HBB; TUBB8; FGR; EPHA8; PDE8A; FKBP1A; PDE6C; POLE2; PTK6; GSR; EPHB6; HDAC1; IL13RA2; PARP2; PDE6B; PDE5A; ERBB2; EPHA2; PRIM2; CHEK1; FCGR1A; EDNRA; PDE6D; RET; DDB1; FNTA; ADORA2B; HDAC3; TUBB6; YES1; TYMS; ERBB4; TOP1MT; HBA2; TUBB; EPHB4; CACNA1H; SRC; TXNRD1; CD3E; HBA1; DHFR; FYN; POLA2; FLT4; RRM2B; PIK3CB; PDE4A; HDAC6; ABL1; POLA1; PIK3R2; PIK3CG; POLD2; VDR; FRK; VEGFA; PDGFRB; EPHA4; CSF3R; PDE1B; SRMS; KDR; IMPA1; IL2RA; PDGFRA; ITGAV; PARP1; EGFR; POLE3; ITGB1; PDE1C; ITGA5; AXL; POLE; LCK; PRIM1; TLR9; TUBB3; ITGB3; TNC; EPHA3; POLD1; ITGB5; CACNA1I; IL2RB; RBX1; HCK; PDE4C; GSK3A; PDE10A; PDE4D; PDE1A; TEK; CD274; PIK3CA; IL13RA1; PDE6A; EPHB2; BLK; TUBB2B; CUL4A; PIK3R5; TP53; EPHA5; PIK3R1; ANGPT1; EPHB1; KIT; PDE9A; PRKCB; PDE7B; RRM2; PDE3A; POLD4; EPHA10; PDE2A; BCR; TUBB4B; HDAC2; TLR7; CSF2RA; LYN; FNTB
Chemotherapy-induced nausea and vomiting,ATP1A2; TUBB2B; VKORC1; TUBB; PTGS2; PTGS1; TUBB1; TUBB4A; NR3C1; PPARG; HTR3A; TUBB6; GABRG3; GABRA3; ATP1A3; GABRG2; ATP1A4; TUBB2A; GABRA2; ALOX5; GABRA1; TACR1; GABRG1; ATP1A1; GABRA5; TUBB4B; TUBB3; TUBB8
Chronic pain,DRD4; PTGS2; OPRK1; SLC6A2; OPRM1; CNR1; ADRA1A; ADORA2A; GABRA2; GABRG1; ADORA1; SCN11A; ADRB2; ADORA2B; GABRG3; GRIN2A; TRPV1; ABCC8; GABRA3; GABRA1; GRIN2D; ATP4A; GABRG2; FAAH; SCN1A; ADRA2A; SCN3A; GRM5; SCN9A; ADRA1D; GRIN1; GRIN3A; GRIN2B; HMGCR; GRIN3B; NGF; SCN2A; DRD3; GRIN2C; ADRA1B; SCN5A; GABRA5; ADORA3; SCN4A; ADRB1; PTGS1; SLC6A4; OPRD1; SCN7A; DRD2; ADRA2C; SCN10A; KCNJ11; ADRB3; SCN8A; ADRA2B
