disease_name,gene_name
AIDS,PGR; CYP3A5; CCR5; CFTR; ALOX5; CYP3A43; ANO1; IFNAR2; ESR1; PDE5A; IFNAR1; CYP3A4; PTGS2; PTGS1; HMGCR; PPARG; CYP3A7
Abdominal Aortic Aneurysm,SCN2A; SCN1A; ADRB1; HMGCR; PLG; AGTR1; NR3C2; SCN11A; SCN9A; SCN5A; SCN7A; SCN10A; SCN4A; SERPINC1; SCN3A; SCN8A
Abdominal pain,PTGS2; NR3C1; SCN3A; SCN5A; SCN8A; OPRM1; SCN7A; CACNA2D1; SCN9A; PPARA; PTGS1; FAAH; SCN1A; FDPS; SCN11A; ADRB2; SCN10A; SCN4A; SCN2A; CHRM1; TRPV1
Abnormal blood glucose concentration,NDUFB4; GPD2; NDUFB3; NDUFA5; NDUFB11; NDUFB9; NDUFC2; NDUFA3; NDUFB1; NDUFA6; NDUFA4; MT-ND5; MT-ND4; NDUFAB1; NDUFB7; NDUFC1; NDUFS8; NDUFS7; NDUFA1; NDUFB5; NDUFAF1; NDUFB10; NDUFS4; NDUFB6; NDUFAF3; NDUFA12; MT-ND6; MT-ND1; NDUFA7; NDUFB2; NDUFAF4; FFAR1; NDUFA10; NDUFA2; NDUFS6; NDUFS2; NDUFV3; NDUFAF2; NDUFV1; NDUFS5; INSR; NDUFA11; NDUFV2; NDUFA13; MT-ND2; NDUFS3; NDUFS1; NDUFA8; NDUFA9; NDUFB8; NDUFA4L2; DPP4; MT-ND3; MT-ND4L
Abnormal cardiovascular system morphology,GRIN2D; GRIN3B; THRB; P2RY12; SCN5A; GRIN3A; SCN7A; SCN1A; SCN11A; GRIN2A; GRIN2B; SCN4A; THRA; SCN2A; GRIN1; SCN8A; PDE5A; SCN3A; GRIN2C; SCN9A; SCN10A
Abnormality of connective tissue,COL4A4; COL1A1; COL4A2; COL2A1; COL1A2; COL4A3; COL27A1; COL4A6; COL11A2; COL28A1; COL11A1; COL5A1; COL6A1; COL6A3; COL3A1; AR; COL6A5; COL4A1; COL5A2; COL15A1; COL18A1; COL6A6; COL5A3; COL6A2; COL24A1; COL4A5
Abnormality of the skin,SCN1A; SCN3A; SCN10A; SCN4A; SCN2A; SCN7A; SCN9A; SCN5A; SCN11A; SCN8A
Acute kidney injury,GABRA3; GSK3B; KCNK10; PDE4C; HMGCR; PDE4D; TNNC1; AVPR2; TNNI3; IMPA1; MTNR1B; GABRA6; ADRA2A; GABRA2; PDE3B; ADORA1; AVPR1A; NPR1; ADRA1B; ADRA1D; AVPR1B; GABRQ; GABRA1; PDE4A; SLC12A1; GABRP; GABRE; GSK3A; GABRG2; SERPINC1; ADRA1A; ADORA2A; SLC5A2; XDH; GABRG1; PDE3A; GABRA5; EPOR; ADORA3; TNNT2; GABRB2; GLRA1; NR3C2; GABRB1; GABRB3; MTNR1A; GABRG3; ADRA2C; PDE4B; DRD1; KCNK18; GUCY1B1; KCNK2; GABRA4; nan; AGTR1; KCNK9; ADORA2B; KCNK3; GABRD; ADRA2B
Agitation,SCN4A; GABRA3; GABRA1; KCNK10; GABRA4; OPRM1; ALDH5A1; GABRG2; SCN7A; SCN1A; HTR2C; DRD2; DRD3; GABRA2; GABRG1; GABRG3; SCN5A; ADRA2C; ADRA2B; KCNK2; HTR2A; GRIN2D; SLC6A4; GRIN3B; MTNR1B; SCN2A; ADRA2A; SCN11A; SCN9A; GRIN1; HTR1A; GABRA5; CHRNG; SCN8A; DRD4; GABRP; GABRE; CHRNE; OPRD1; CHRND; CHRNA1; GLRA1; SCN3A; GRIN2C; GABRB3; MTNR1A; GRIN2A; GABRD; GABRQ; GRIN2B; OPRK1; GABRA6; GABRB2; GABRB1; CHRM1; KCNK9; CHRNB1; KCNK3; SCN10A; KCNK18; GRIN3A
Airway obstruction,PDE4C; PDE4D; ADRA1A; ADRB2; ADRA1B; ADRA2C; PDE4B; IGHE; ADRA2B; ADORA3; ADRB1; PDE10A; IL5; ADORA2A; PDE3B; CYSLTR1; PDE4A; NR3C1; TSLP; ADORA1; ADORA2B; ADRA1D; PDE3A; IL5RA; CHRM3; PDE5A; ADRA2A; CHRM1; ADRB3
Alport syndrome,NDUFC1; GPD2; NDUFAF4; NDUFB10; NDUFB11; NDUFV3; NDUFAF2; NDUFV2; NDUFA12; NDUFA6; NDUFA4L2; MT-ND5; MT-ND3; MT-ND1; MT-ND4L; NDUFS8; NDUFA9; NDUFS6; NDUFS2; NDUFS4; NDUFB6; NDUFAF3; MT-ND2; MT-ND4; NDUFS3; NDUFA7; NDUFAB1; NDUFB4; NDUFB2; NDUFB7; NDUFS7; NDUFB3; NDUFA8; NDUFA5; NDUFA10; NDUFB9; NDUFB8; MT-ND6; NDUFS1; NDUFA1; NDUFA2; NDUFB5; NDUFAF1; NDUFC2; NDUFV1; NDUFS5; NDUFA3; NDUFA11; NDUFB1; NDUFA13; NDUFA4
Alzheimer disease,FGFR3; DRD4; PSEN1; CACNA1S; ESR1; PTGS1; HTR2A; SLC6A2; SLC6A4; BCHE; APH1A; CHRNA10; APH1B; APP; SLC6A3; PSEN2; CACNA2D1; NCSTN; ADRB2; GRIN1; HTR1A; GRIN2A; ADRA2C; GRIN3A; AGER; SCN4A; VDR; ALDH5A1; NR3C1; PDGFRB; MMP8; ADORA2A; SCN2A; GABBR2; SCN1A; HTR2C; SIGMAR1; DRD3; SCN3A; CACNA1D; KIT; HTR6; GRIN2C; CHRNA7; SCN10A; BCR; ADRB3; MMP1; SCN8A; GRIN2B; PTGS2; ACHE; ABL1; CHRNA4; GRIN2D; GLP1R; HMGCR; GRIN3B; FAAH; ADRA1A; PDE5A; DRD2; ADRA2A; CACNA1C; ADORA1; SCN11A; ADORA2B; ADRA1D; BACE1; TRPV1; FLNA; PSENEN; ADRA2B; ADRB1; PGR; CACNA1F; PPARG; PDGFRA; SCN7A; MMP7; MMP13; ESR2; CHRNB2; SCN9A; ADRA1B; PDE3A; CHRNA9; SCN5A; GABBR1; ADORA3
Anorexia,TUBB2A; HTR2C; DRD2; DRD3; HTR3A; TUBB; DRD4; PGR; ALDH5A1; CNR1; HTR4; ADRA2C; TUBB8; TUBB1; HTR2A; TUBB2B; TUBB6; TUBB4A; ADRA2A; TUBB4B; TNF; TUBB3; ADRA2B
Aplastic anemia,POLD3; POLA1; NR3C1; PRIM2; PPIA; RRM1; POLE2; POLD2; CSF3R; POLD4; PRIM1; POLA2; POLD1; POLE3; POLE
Apnea,ADORA1; HTR1A; ADORA3; CA2; CA4; KCNK3; CA12; ADORA2A; KCNK9; ADORA2B; CA1
Arthralgia,PTGS2; XDH; ADRA1B; ADRA1D; HRH1; PTGS1; NR3C1; ADRA2A; ADRA2C; TRPV1; ALOX5; HRH2; ADRA1A; TRPA1; TRPM8; ADRA2B
Arthropathy,PTGS2; CHRND; SCN3A; SCN8A; SCN4A; CHRNE; PLG; CHRNA1; SCN9A; OPRK1; OPRM1; NR3C1; SCN2A; SCN7A; SCN1A; CHRNB1; OPRD1; SCN11A; SCN5A; SCN10A; CHRNG
Ataxia-telangiectasia,NDUFB2; NDUFS7; NDUFA1; NDUFA2; PPARG; NDUFB10; NDUFB9; NDUFA4L2; MT-ND1; GPD2; NDUFB3; NDUFAF1; NDUFS6; NDUFB11; NDUFAF2; NDUFA3; NDUFA11; NDUFA13; MT-ND4; NDUFS1; NDUFC1; NDUFS8; NDUFA8; NDUFAF4; NDUFA9; NDUFC2; NDUFS2; NDUFV1; NDUFV2; NDUFB1; NDUFA12; NDUFA6; NDUFA4; MT-ND6; MT-ND5; NDUFS3; NDUFAB1; NDUFB4; NDUFB7; NDUFA5; NDUFA10; NDUFB5; NDUFV3; NDUFS4; NDUFB6; NDUFB8; NDUFS5; NDUFAF3; MT-ND2; MT-ND3; MT-ND4L; NDUFA7
Autosomal dominant polycystic kidney disease,CACNA1S; NDUFB2; NDUFB7; CACNA1F; IKBKB; GPD2; NFE2L2; NDUFA8; NDUFB6; NDUFV1; NDUFAF3; NDUFV2; MT-ND2; SSTR3; SCNN1A; NDUFAF4; NDUFA1; PPARG; NDUFAF1; NDUFS6; NDUFB11; NDUFC2; NR3C2; NDUFA3; NDUFA12; NDUFA6; MT-ND3; MT-ND4; NDUFAB1; FKBP1A; NDUFC1; NDUFS8; HMGCR; AVPR2; NDUFA10; SSTR1; NDUFB10; NDUFB9; CACNA1C; CACNA1D; SSTR5; NDUFS4; NDUFS5; SSTR2; NDUFB1; NDUFA4; MT-ND1; NDUFS3; NDUFS1; NDUFB4; SLC12A3; KEAP1; NDUFS7; NDUFB3; NDUFA5; NDUFA2; SSTR4; NDUFB5; NDUFA9; AGTR1; NDUFS2; NDUFV3; NDUFAF2; NDUFB8; NDUFA11; NDUFA4L2; NDUFA13; MT-ND6; MT-ND5; MT-ND4L; NDUFA7
Back pain,SCN4A; GABRA3; GABRA1; PTGS2; SLC6A2; CHRND; SCN2A; SCN1A; GABRB1; CHRNB1; SCN5A; KCNK18; SCN8A; ADORA3; GABRP; PTGS1; TRPA1; SLC6A4; GABRA4; OPRM1; NR3C1; SCN7A; TRPM8; GABRA2; FDPS; PTH1R; GABRG1; ADORA1; SCN9A; GABRG3; TRPV1; GABRQ; KCNK2; GABRE; ADORA2A; DDC; CHRNA1; GABRB2; GLRA1; SCN3A; KCNK3; CHRNG; OPRK1; KCNK10; CHRNE; GABRG2; FAAH; GABRA6; DRD3; GABRB3; SCN11A; KCNK9; ADORA2B; SCN10A; GABRA5; GABRD
Becker muscular dystrophy,RPS5; RPLP0; RPL3; RPL18A; RPL19; RPS13; RPL21; RPL5; RPS8; RPS3A; RPL7; RPS3; FAU; ACE; RPS14; RPL27A; ADRA1B; RPL15; RPS26; RPS29; RPL41; RPL18; RPL31; RPS16; RPL34; ADRA1A; RPS10; RPL36; RPL27; RPS6; RPLP1; PDE5A; RPL32; RPL8; RPL26; RPL13; ADRB2; RPL38; RPL4; RPL35A; RPS18; RPS28; RPL36A; RPL17; ADRB1; RPL6; RPS19; RPL28; RPS12; RPL22; RPS25; RPL23; RPS15A; RPL35; RPS24; RPS2; RPL13A; RPL11; RPL37; RPL10; RPL30; RPSA; RPS9; RPS21; RPS7; ADRA1D; RPS27; RPS23; RPL14; RPL37A; RPL12; RPS4X; RPL23A; RPL10A; RPS20; RPL24; RPS15; RPS4Y1; RPS11; RPS27A; RPL7A; RPL29; RPL9; RPS17; ADRB3; RPL39
Behcet's syndrome,PDE4C; IL17A; IFNAR1; PDE4B; TNF; PDE4D; IFNAR2; PPIA; PDE4A; IL1B
Bilateral tonic-clonic seizure,SCN2A; CACNA1B; GRIA1; SV2A; SCN11A; SCN3A; SCN10A; SCN4A; GRIA2; GRIA3; GRIA4; SCN9A; SCN5A; SCN7A; SCN1A; CACNA2D1; SCN8A
Borderline personality disorder,MAOB; HTR2A; SLC6A4; OPRD1; SCN2A; DRD2; SCN3A; SCN11A; DRD4; OPRK1; OPRM1; SCN7A; SCN1A; SCN9A; SCN5A; SCN10A; SCN4A; HTR2C; DRD3; SCN8A
Bradycardia,CHRM3; ADRA2C; ADRB3; ADRB1; ADRA2A; ADRB2; CHRM1; CHRM2; ADRA2B; ADRA1A; ADRA1B; ADRA1D
Bronchiectasis,PDE4A; CTSC; NR3C1; PDE3B; ADRB2; ADORA2A; CHRM3; ADORA1; IL5RA; PDE4C; VDR; HMGCR; PDE4D; ADORA2B; PDE3A; PDE4B; ADORA3; CHRM1; ELANE
Bronchiolitis,SLC12A1; ADRA1A; ADRA1B; ADRA1D; CYSLTR1; ADRA2B; NR3C1; nan; ADRB3; ADRA2A; ADRB2; ADRB1; GUCY1B1; ADRA2C
Brugada syndrome,KCNQ2; KCND1; KCNA7; KCNS1; KCNC3; KCNH3; KCNB1; KCNF1; KCNG4; KCNH8; KCNQ3; KCND2; KCNH7; KCNQ1; KCNA1; KCNA5; KCNH5; KCNA10; KCND3; KCNA2; KCNG2; KCNG1; KCNC4; KCNQ4; KCNC1; KCNH1; KCNA6; KCNS2; KCNC2; KCNS3; KCNH6; KCNB2; SCN5A; KCNQ5; KCNH2; KCNH4; KCNV1; KCNV2; KCNG3; KCNA3; KCNA4
CDKL5 disorder,GABRG2; GABRB3; GABRG3; GABRD; GABRA4; GABRA2; GABRG1; GABRA5; GABRA1; GABRE; GABRA6; GABRB1; GABRQ; GABRA3; GABRP; GABRB2
COVID-19,NDUFAB1; BTK; GABRA1; GUCY1B1; DRD4; PDE8A; PTGS2; RARB; GABRP; HSP90AB1; ABL1; IL2RB; RBX1; TUBB1; CHRNA4; EEF1A2; GABRE; TUBB4A; GRIN2D; CYP3A5; IMPDH1; SLC6A4; CTSC; OPRM1; GHR; HMGCR; PDE4D; NR3C1; CRBN; TACR1; IL1R1; SERPINC1; CD80; FLT3; PLG; PDE1B; NDUFA1; IL1B; NDUFA5; PDE6A; MMP13; AGTR1; GABRA6; GLRA1; NDUFB11; IL6R; CCR5; CYP3A7; GRIN2C; NDUFS4; KLKB1; CSF2; GABRB3; NDUFV1; NDUFS5; ADRA1B; INSR; RARG; SELP; TUBB6; GRIN1; NDUFV2; GRIN2A; NDUFB1; ADRA2C; PDE6G; NDUFA13; GABRA5; PDE2A; GABRD; TUBB4B; MMP1; TLR7; MT-ND5; MT-ND1; PDE7A; NDUFS3; TLR9; TUBB3; GABRQ; GABRA3; ADRB1; ACHE; NDUFB2; PTGS1; NDUFB7; C5; GABRA4; NDUFC1; NDUFS8; PDE10A; VEGFA; PDE8B; HRH2; CD86; GRIN3B; FAAH; FASLG; ADRA1A; F10; RARA; NDUFB5; PDE5A; PDE6H; IFNAR1; SIGLEC10; GABRB2; CACNA1C; NDUFC2; NR3C2; LY96; PDE6D; NDUFS2; NDUFV3; CHRNB2; FGFR4; CYP3A4; JAK1; GABRG1; CXCR1; NDUFAF2; AR; PCSK9; CYSLTR1; NDUFAF3; NDUFA4L2; KCNK18; TUBB; DPP4; CSF2RA; MT-ND6; MT-ND4; NDUFA7; ADRA2B; CD6; CYP3A43; PDE4A; FGFR2; FGFR1; HSP90AA1; CACNA1S; FKBP1A; PDE6C; JAK2; KCNK10; FLT1; DHODH; TYK2; JAK3; VDR; IL17A; GABRG2; NDUFS7; MMP8; NDUFA8; nan; NDUFAF4; KDR; NDUFA10; IL2RA; IL6; TLR4; TUBB2A; TUBB2B; NDUFAF1; CUL4A; SLC5A2; NDUFB10; NDUFB9; DRD2; ADRA2A; DRD3; GABRA2; CACNA1D; IFNAR2; PDE9A; GABRB1; NDUFB8; DDB1; KCNK9; NDUFA3; KCNK3; PDE7B; F2; GABRG3; PDE4B; MAPK11; IFNLR1; BCR; NDUFA4; HMGB1; PPIA; HRH1; MT-ND2; GRIN3A; HSPA1B; MT-ND4L; IL10RB; TUBB8; NDUFS1; FLT4; NDUFB4; FGFR3; KCNK2; CACNA1F; HTR2A; PDE4C; MAPK14; SLC29A1; PDGFRB; GPD2; PDE1A; NDUFB3; CCR2; NDUFA2; PDE6B; PDGFRA; MMP7; NDUFA9; NDUFS6; PDE3B; PDE1C; KIT; ACE; NDUFB6; ADRB2; P2RY12; ADRA1D; PDE3A; NDUFA11; CXCR2; NDUFA12; NDUFA6; TRPV1; MT-ND3; HSPA1A; TNF; GRIN2B
Cachexia,PGR; GHR; TUBB4B; TUBB4A; HTR2C; INSR; ADRA2C; TUBB3; TUBB1; HTR2A; TUBB2B; ADRA2A; TUBB6; ADRA2B; TUBB2A; TUBB; TNF; TUBB8
Central Nervous System Lymphoma,NR3C1; MS4A1; PRIM1; DHFR; BTK; POLE2; POLA1; POLD2; POLE3; POLA2; POLD3; PRIM2; POLD4; POLD1; POLE
Central Nervous System Neoplasm,GSR; TUBB4A; NR3C1; TUBB2A; RARG; TOP2A; TUBB4B; DHFR; TUBB3; TOP2B; DHODH; TUBB2B; TUBB6; TUBB; TUBB8; RARB; TUBB1; CSF3R; RARA
Chemotherapy-induced nausea and vomiting,HTR2A; NR3C1; CNR1; HTR2C; ADRA2A; HTR3A; HTR3C; ADRA2C; HTR3E; HTR3D; DRD4; TACR1; DRD2; HTR3B; HTR4; DRD3; ADRA2B
Cholecystitis,GRIN2D; SCN2A; GRIN2C; SCN9A; GRIN2A; SCN5A; SCN8A; GRIN3B; ADRA2A; SCN7A; SCN11A; SCN10A; GRIN3A; GRIN2B; ADRA2B; SCN4A; OPRM1; SCN1A; SCN3A; GRIN1; ADRA2C
Chronic pain,SCN4A; PTGS1; GRIN2D; SLC6A4; OPRM1; CHRM3; NGF; SCN7A; CACNA2D1; GRIN2C; HTR3A; SCN11A; GRIN1; SCN8A; ADRA2B; PTGS2; OPRK1; SLC6A2; NR3C1; GRIN3B; OPRD1; FAAH; SCN3A; SCN9A; SCN10A; TRPV1; GRIN2B; CNR1; SCN2A; SCN1A; ADRA2A; GRIN2A; SCN5A; ADRA2C; GRIN3A; CLCN2; OXTR; CHRM2; HRH1
Cognitive impairment,SCN4A; NDUFB4; GSK3B; ACHE; NDUFB2; GABRE; VDR; OPRM1; GPD2; NDUFA8; NDUFAF4; NDUFA5; CHRM3; IMPA1; NDUFB5; NDUFAF1; APP; SLC6A3; NDUFS6; NDUFB11; GABRA2; SCN3A; NDUFS2; GRIN2C; GABRB1; NDUFB6; NDUFV1; SCN11A; NDUFS5; SCN9A; NDUFA3; SCN10A; GABRD; SCN8A; GRIN3A; MT-ND3; MT-ND1; RXRB; MT-ND4L; GABRA3; GABRP; SLC6A2; GRIN2D; SLC6A4; NDUFC1; NDUFS8; CNR1; NDUFB3; NDUFA1; NDUFA10; NDUFA9; SCN1A; GABRB2; HTR2C; ADRA2A; NDUFC2; NDUFV3; GABRG1; NDUFAF2; SLC18A2; CHRM1; ADRA1B; ADRA1D; NDUFA11; NDUFV2; GRIN2A; NDUFB1; SCN5A; NDUFS3; GRIN2B; NDUFAB1; GABRA1; NDUFB7; GSK3A; GABRA4; HMGCR; GABRG2; BCHE; GRIN3B; S1PR4; ESR2; RXRG; NDUFB9; NDUFB8; GABRB3; S1PR1; NDUFAF3; S1PR5; CHRM2; GABRG3; ADRA2C; NDUFA12; NDUFA6; NDUFA13; NDUFA4; MT-ND6; S1PR3; S1PR2; ADRA2B; NDUFS1; ESR1; HTR2A; NDUFS7; ADRA1A; NDUFA2; SCN2A; SCN7A; NDUFB10; GABRA6; DRD2; NDUFS4; GRIN1; NDUFA4L2; GABRA5; RXRA; DPP4; MT-ND2; MT-ND5; MT-ND4; NDUFA7; GABRQ
Constipation,SLC9A3; OPRM1; OPRD1; SSTR1; HTR3B; HTR4; HTR3E; OPRK1; CLCN2; HTR3C; RXRA; GUCY2C; SLC10A2; SNAP25; SSTR2; HTR3D; SSTR3; SSTR4; SSTR5; HTR3A
Coronary Restenosis,TUBB4A; FKBP1A; TUBB4B; TUBB; PTGS2; TUBB1; TUBB2A; TUBB2B; TUBB3; TUBB6; TUBB8
Cough,GABRA1; KCNK10; TRPA1; ATP4A; P2RX3; OPRM1; GABRG2; NR3C1; SCN7A; TRPM8; GABRB2; CYSLTR1; GRIN2A; SCN5A; ADRA2C; KCNK18; SCN8A; GABRQ; SCN4A; KCNK2; RBX1; GABRE; HRH2; CRBN; OPRD1; SCN2A; CUL4A; SCN1A; SIGMAR1; ADRA2A; GABRB1; GABRB3; DDB1; SCN11A; KCNK9; GABRD; HRH1; SLC6A2; ADRA1A; GABRA6; SCN3A; SCN9A; ADRA1B; KCNK3; SCN10A; GABRA3; OPRK1; GABRP; GABRA4; GLRA1; GABRA2; GABRG1; ADRA1D; GABRG3; GABRA5; ADRA2B
