disease_name,gene_name
AIDS,PGR; CFTR; ALOX5; CYP3A5; ANO1; CYP3A43; ESR1; PDE5A; CCR5; CYP3A4; PTGS2; PTGS1; PPARG; CYP3A7
Abdominal Aortic Aneurysm,SCN2A; SCN1A; ADRB1; HMGCR; AGTR1; NR3C2; SCN11A; SCN9A; SCN5A; SCN7A; SCN10A; SCN4A; SERPINC1; SCN3A; SCN8A
Abdominal pain,SCN3A; SCN8A; OPRM1; CACNA2D1; SCN9A; PPARA; SCN7A; SCN5A; SCN10A; SCN4A; SCN2A; SCN1A; SCN11A
Abnormal cardiovascular system morphology,GRIN2D; GRIN3B; SCN5A; GRIN3A; SCN7A; SCN1A; SCN11A; GRIN2A; GRIN2B; SCN4A; SCN2A; GRIN1; SCN8A; SCN3A; GRIN2C; SCN9A; SCN10A
Abnormality of connective tissue,COL4A4; COL1A1; COL4A3; COL27A1; COL4A6; COL11A2; COL5A1; COL4A2; COL6A3; AR; COL6A5; COL4A1; COL5A2; COL28A1; COL11A1; COL6A1; COL1A2; COL3A1; COL18A1; COL6A6; COL5A3; COL2A1; COL6A2; COL24A1; COL4A5; COL15A1
Abnormality of the skin,SCN1A; SCN3A; SCN10A; SCN4A; SCN2A; SCN7A; SCN9A; SCN5A; SCN11A; SCN8A
Acute kidney injury,GABRA3; GSK3B; KCNK10; PDE4C; HMGCR; TNNC1; AVPR2; TNNI3; IMPA1; GABRA6; ADRA2A; GABRA2; AVPR1A; ADRA1B; ADRA1D; AVPR1B; GABRQ; GABRA1; PDE4A; SLC12A1; GABRP; GABRE; GSK3A; GABRG2; SERPINC1; ADRA1A; ADORA2A; SLC5A2; XDH; GABRG1; PDE3A; GABRA5; ADORA3; TNNT2; GABRB2; GLRA1; PDE3B; GABRB1; GABRB3; GABRG3; ADRA2C; KCNK18; KCNK2; GABRA4; PDE4D; ADORA1; KCNK9; ADORA2B; KCNK3; PDE4B; GABRD; ADRA2B
Agitation,SCN4A; GABRA3; GABRA1; KCNK10; GABRA4; OPRM1; GABRG2; SCN7A; HTR2C; DRD3; GABRG1; SCN5A; ADRA2C; ADRA2B; KCNK2; HTR2A; GRIN2D; GRIN3B; MTNR1B; SCN2A; SCN1A; ADRA2A; GABRA2; SCN11A; GRIN1; HTR1A; GABRA5; CHRNG; SCN8A; DRD4; GABRP; GABRE; CHRNE; OPRD1; CHRND; CHRNA1; GLRA1; DRD2; SCN3A; GRIN2C; GABRB3; MTNR1A; GABRG3; GRIN2A; GABRD; GABRQ; GRIN2B; OPRK1; GABRA6; GABRB2; GABRB1; CHRM1; KCNK9; SCN9A; CHRNB1; KCNK3; SCN10A; KCNK18; GRIN3A
Airway obstruction,PDE4C; PDE4D; ADRA1A; ADRA1B; ADRA2C; IGHE; ADRA2B; ADORA3; ADRB1; IL5; ADORA2A; PDE3B; CYSLTR1; PDE4A; NR3C1; TSLP; ADORA1; ADRB2; ADORA2B; ADRA1D; PDE3A; PDE4B; IL5RA; CHRM3; ADRA2A; CHRM1; ADRB3
Alport syndrome,NDUFC1; GPD2; NDUFAF4; NDUFB10; NDUFB11; NDUFV3; NDUFAF2; NDUFV2; NDUFA12; NDUFA6; NDUFA4L2; MT-ND5; MT-ND3; MT-ND1; MT-ND4L; NDUFS8; NDUFA9; NDUFS6; NDUFS2; NDUFS4; NDUFB6; NDUFAF3; MT-ND2; MT-ND4; NDUFS3; NDUFA7; NDUFAB1; NDUFB4; NDUFB2; NDUFB7; NDUFS7; NDUFB3; NDUFA8; NDUFA5; NDUFA10; NDUFB9; NDUFB8; MT-ND6; NDUFS1; NDUFA1; NDUFA2; NDUFB5; NDUFAF1; NDUFC2; NDUFV1; NDUFS5; NDUFA3; NDUFA11; NDUFB1; NDUFA13; NDUFA4
